experiment_id,timestamp,git_commit,data_fingerprint,fold_version,mask_version,feature_version,feature_set_hash,model,params_json,seed,split,rmse,gap_score,known_rmse,unseen_rmse,hard_rmse,runtime_sec,peak_memory_mb,artifact_uri,conclusion
baseline_v1_seasonal_crop_A_1_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,seasonal_crop,{},29,CV-A/1/0,0.1816771289546395,0.0,0.1699483180578895,0.1836175840900513,,4.674726750003174,427.046875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_pchip_A_1_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,pchip,{},29,CV-A/1/0,0.0982906257520088,0.51,0.0911708706502179,0.0994630214811172,,4.716227500000969,427.046875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_akima_A_1_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,akima,{},29,CV-A/1/0,0.1042333095907436,0.0,0.0952348206451634,0.1057028064331123,,4.757670416001929,427.046875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_left_A_2_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_left,{},43,CV-A/2/0,0.1181519164993071,0.0,0.1005080828596646,0.1210355987181507,,4.482188458001474,450.4375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_right_A_2_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_right,{},43,CV-A/2/0,0.1114750159733418,0.0,0.105039171709944,0.1125868693271168,,4.523912125005154,450.4375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_mean_neighbors_A_2_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,mean_neighbors,{},43,CV-A/2/0,0.0924605379279498,2.26,0.0880055458059093,0.0932345819372633,,4.565416208002716,450.4375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_linear_A_2_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,linear,{},43,CV-A/2/0,0.0955193629335698,1.34,0.0933260262202057,0.0959062064800144,,4.606374458002392,450.4375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_seasonal_crop_A_2_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,seasonal_crop,{},43,CV-A/2/0,0.1767282951732943,0.0,0.1816951738765878,0.1758255229656165,,4.648275458021089,450.4375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_pchip_A_2_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,pchip,{},43,CV-A/2/0,0.100293444400082,0.0,0.0978871095027387,0.1007175957040366,,4.689508833020227,450.4375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_akima_A_2_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,akima,{},43,CV-A/2/0,0.1045931425927993,0.0,0.0997144248708498,0.1054415855421502,,4.730295165994903,450.4375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_left_A_3_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_left,{},71,CV-A/3/0,0.1005636952527929,0.0,0.1003760796475014,0.100593782762088,,4.51515599997947,452.0,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_right_A_3_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_right,{},71,CV-A/3/0,0.1021252994963739,0.0,0.0962747921366322,0.1030336063131563,,4.558032208995428,452.0,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_mean_neighbors_A_3_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,mean_neighbors,{},71,CV-A/3/0,0.0850451444577483,4.49,0.0822845294587925,0.0854800328815347,,4.6012267919722944,452.0,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_linear_A_3_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,linear,{},71,CV-A/3/0,0.0854049674733833,4.38,0.0832265284760521,0.0857495421033983,,4.644266499992227,452.0,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_seasonal_crop_A_3_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,seasonal_crop,{},71,CV-A/3/0,0.1727308467933788,0.0,0.1656757943102787,0.1738368048378162,,4.687093708984321,452.0,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_pchip_A_3_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,pchip,{},71,CV-A/3/0,0.0887186467779336,3.38,0.0865108535955744,0.0890679913840232,,4.729554333986016,452.0,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_akima_A_3_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,akima,{},71,CV-A/3/0,0.091041739193082,2.69,0.0881028583721196,0.0915047591743428,,4.771416333998786,452.0,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_left_A_4_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_left,{},101,CV-A/4/0,0.0999009733177858,0.03,0.0997393573847186,0.0999317276706255,,4.517033249983797,457.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_right_A_4_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_right,{},101,CV-A/4/0,0.1046333453900213,0.0,0.0969652385956078,0.1060310812931474,,4.559649625007296,457.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_mean_neighbors_A_4_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,mean_neighbors,{},101,CV-A/4/0,0.0829898351528303,5.1,0.0847459236593852,0.0826511118698637,,4.601736666983925,457.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
