dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
confidence_bin,medium,477,0.07159931270926313,8.52,A,1,0,catboost
confidence_bin,high,700,0.06914512254872275,9.26,A,1,0,catboost
overall,all,1200,0.06767115588114812,9.7,A,2,0,catboost
seen_polygon,False,1018,0.068352892210118,9.49,A,2,0,catboost
seen_polygon,True,182,0.06372357934465403,10.88,A,2,0,catboost
crop_type,зерновые,267,0.05819624925031018,12.54,A,2,0,catboost
crop_type,озимая пшеница,813,0.07292143465623441,8.12,A,2,0,catboost
crop_type,пастбища/зерновые,88,0.04144235004755678,17.57,A,2,0,catboost
crop_type,подсолнечник,32,0.0603873446738382,11.88,A,2,0,catboost
source_label,landsat,486,0.06786621427811569,9.64,A,2,0,catboost
source_label,modis,182,0.0667783122628721,9.97,A,2,0,catboost
source_label,s2,532,0.06779602291041929,9.66,A,2,0,catboost
gap_length,1,885,0.06789090185933573,9.63,A,2,0,catboost
gap_length,2,230,0.06868743520652554,9.39,A,2,0,catboost
gap_length,3,60,0.0673083654087475,9.81,A,2,0,catboost
gap_length,4,20,0.04354850587027907,16.94,A,2,0,catboost
gap_length,5,5,0.06520253110601787,10.44,A,2,0,catboost
left_distance_bin,0-7,974,0.06394545250578401,10.82,A,2,0,catboost
left_distance_bin,16-30,32,0.07205602153190652,8.38,A,2,0,catboost
left_distance_bin,31+,32,0.09798748063390086,0.6,A,2,0,catboost
left_distance_bin,8-15,162,0.08009101003326882,5.97,A,2,0,catboost
right_distance_bin,0-7,1004,0.06689352823614834,9.93,A,2,0,catboost
right_distance_bin,16-30,29,0.07611065221157075,7.17,A,2,0,catboost
right_distance_bin,31+,27,0.06839007889532484,9.48,A,2,0,catboost
right_distance_bin,8-15,139,0.07136913701661682,8.59,A,2,0,catboost
right_distance_bin,none,1,0.018405288111436713,24.48,A,2,0,catboost
year,2010,35,0.05191104166416442,14.43,A,2,0,catboost
year,2011,33,0.07761070797471857,6.72,A,2,0,catboost
year,2012,28,0.07725058037940825,6.82,A,2,0,catboost
year,2013,38,0.07927278455990905,6.22,A,2,0,catboost
year,2014,33,0.05529721815031148,13.41,A,2,0,catboost
year,2015,28,0.056208579805931046,13.14,A,2,0,catboost
