feature,importance
primary_mean21,11.510122777342984
primary_robust_linear,5.519471840997943
landsat_linear,4.591276184317074
primary_mean45,3.9904849507624967
primary_linear,3.825906977024441
landsat_robust_linear,3.0975002738777264
landsat_midpoint,2.133490477766272
landsat_evi_robust_linear,2.1220338583989315
donor_modis_3,1.7931601295660529
landsat_evi_linear,1.636458672055175
primary_midpoint,1.5030855465045643
primary_prev2,1.3904529507663206
date_all_modis_count,1.2697368448896849
donor_modis_10_n,1.1714485265992998
date_crop_modis_mean,1.1197479874607408
modis_donor_disagreement,1.0306952418438176
donor_modis_10,1.0264703074469879
date_crop_primary_median,0.8977234160764863
landsat_prev1,0.8970990721689617
primary_prev1,0.8711154061948266
date_all_primary_count,0.8007303048463669
date_all_primary_mean,0.7823258206919511
s2_minus_primary,0.7710229527719091
date_all_primary_median,0.7549415392923678
date_all_modis_median,0.751517408779922
date_crop_primary_mean,0.7143145201805376
primary_next2,0.7067395595646659
modis_evi_next1,0.6776030552114585
landsat_nearest,0.6708878274363536
modis_evi_midpoint,0.6492273865225827
modis_minus_primary,0.6418156848391734
landsat_minus_primary,0.6184179689530777
landsat_evi_mean21,0.5765696093511811
modis_slope,0.5761122033526098
modis_robust_linear,0.5435338942161667
landsat_evi_next1,0.5337915985253576
modis_evi_robust_linear,0.5325535868156164
primary_next1,0.4983021843026178
donor_s2_3_n,0.4925301754419857
donor_s2_10,0.48515779135865805
donor_modis_3_n,0.46885242813813893
modis_linear,0.44579329640312393
date_all_s2_count,0.4390593495894366
calendar_sin_16,0.4211479668165628
landsat_evi_nearest,0.4176603681785738
landsat_evi_mean45,0.41700555141433504
calendar_cos_16,0.41574690826783856
landsat_next1,0.40272028749094846
primary_prev3,0.4022554385688061
date_all_modis_mean,0.3994383319052616
landsat_ndwi_nearest,0.3853092437627355
date_crop_modis_median,0.37614604592074136
donor_s2_3,0.3756554515906647
landsat_mean21,0.36693799746186156
date_crop_s2_std,0.36652245241227216
date_crop_landsat_median,0.3540114834272383
calendar_sin_8,0.35328734990740845
s2_ndwi_prev1,0.35260734168056157
donor_landsat_10,0.32491339885106424
s2_ndwi_std21,0.3243394549289027
date_crop_s2_count,0.31945840991198826
donor_s2_10_n,0.3164868283137682
s2_ndwi_midpoint,0.314128058395701
s2_donor_disagreement,0.3125325497048558
modis_minus_clim,0.30885653264670826
modis_evi_linear,0.3007120424217971
donor_modis_confidence,0.29437856013134706
source_spread,0.29182387038372676
era5_precip_mm_slope,0.2855757054726952
date_crop_modis_count,0.28556703390746174
modis_mean21,0.278103612121088
year,0.2766833271964295
donor_landsat_10_n,0.2651538508892682
date_crop_s2_median,0.26483862284788884
primary_minus_clim,0.2621564449405764
modis_evi_slope,0.2584530553905895
s2_robust_linear,0.2574984715373399
landsat_mean45,0.2551688898217229
modis_midpoint,0.25469514398091314
primary_prev4,0.2540423635834779
date_all_s2_std,0.25194976408520553
era5_temp_c_slope,0.24334522665479774
s2_nearest,0.24162467915334704
date_all_modis_std,0.23961299397881658
date_crop_primary_std,0.2390046221452766
date_crop_landsat_mean,0.238199714785476
calendar_sin_182.625,0.2359180716218195
landsat_donor_disagreement,0.23560990154183942
donor_landsat_3,0.23540830059756845
landsat_ndwi_linear,0.22694933850944893
donor_landsat_confidence,0.22636775229626618
modis_next3,0.2254678349848958
era5_precip_mm_next1,0.2224866297122849
calendar_cos_182.625,0.22233808017543338
s2_evi_nearest,0.22196169308931488
modis_next2,0.21832439869475984
s2_minus_clim,0.2176550039054416
modis_evi_next2,0.21649465083454886
primary_std21,0.21409117647455828
landsat_evi_prev1,0.21196310814655844
s2_evi_prev1,0.20926101576590067
modis_evi_nearest,0.20765477732578527
calendar_sin_365.25,0.20709466361277815
landsat_ndwi_slope,0.20699599046276138
landsat_minus_clim,0.20572672435204042
primary_next3,0.20157824462931342
doy,0.19721323445268418
calendar_cos_365.25,0.19687990630892058
s2_ndwi_nearest,0.19649049536924362
primary_nearest,0.19566160461283763
modis_prev1,0.1941328532760301
date_crop_s2_mean,0.19280077200285756
s2_slope,0.1915354562642536
landsat_evi_prev2,0.18773305494575412
date_crop_modis_std,0.18643582370812264
date_all_primary_std,0.1860980869886794
s2_next4,0.18314053259072038
landsat_prev3,0.18263151825890686
modis_std21,0.18062844538118056
era5_precip_mm_prev1,0.18060387756337545
date_all_landsat_median,0.1775470692627045
date_crop_landsat_count,0.1771289392785823
landsat_slope,0.17547348166910187
modis_nearest,0.1722804354679983
modis_evi_mean45,0.16825733944335788
modis_evi_prev1,0.1664034232581403
modis_prev1_days,0.16448289392243914
landsat_evi_slope,0.16053677284151385
modis_evi_mean21,0.159830654584283
date_all_landsat_mean,0.15800967578246533
donor_landsat_3_n,0.15618045084899032
landsat_prev4,0.15147143528298396
