feature,importance
primary_mean21,14.441235433643548
primary_robust_linear,5.4665276018399585
landsat_linear,3.697062869501019
landsat_robust_linear,3.626667615107112
primary_mean45,3.1562220061110593
primary_midpoint,2.7904416375277816
primary_linear,2.1002459426601083
donor_modis_3,2.0627069936384363
landsat_midpoint,1.7086928844179952
date_crop_modis_mean,1.4586801982226367
primary_prev2,1.4309696065642314
landsat_evi_linear,1.3828011309105919
landsat_mean21,1.3560366746909795
modis_robust_linear,1.228988563734839
date_crop_primary_mean,0.9758859681943333
date_all_modis_count,0.9536846531945575
landsat_prev1,0.934313352656052
donor_modis_10_n,0.8529675097310044
date_all_primary_mean,0.8355394333655818
landsat_evi_robust_linear,0.8079699180916312
date_all_primary_median,0.7870187453072676
date_all_modis_std,0.7370707563757433
landsat_evi_mean21,0.7039554664360159
landsat_evi_nearest,0.6857515667970869
primary_next1,0.6496549124576648
date_crop_primary_median,0.6363157262042926
modis_donor_disagreement,0.6186934894554691
date_all_modis_median,0.6118297059520518
donor_modis_10,0.61060233475216
modis_evi_nearest,0.6048703449908226
modis_evi_robust_linear,0.5892222713396209
modis_evi_midpoint,0.5791255684909365
s2_minus_primary,0.5656586295312908
calendar_sin_16,0.5579965236095525
modis_linear,0.5397181565606407
primary_prev1,0.5306467226112863
s2_ndwi_robust_linear,0.5250413541379391
donor_landsat_10,0.5170272930180989
donor_modis_3_n,0.5104915481008854
date_crop_s2_count,0.4996208060589669
modis_minus_primary,0.47003381344007983
date_crop_modis_std,0.4559587771446792
landsat_evi_next1,0.44916551467856125
landsat_minus_primary,0.44696372758316755
landsat_ndwi_nearest,0.44241463951729637
date_crop_modis_count,0.4386640830806165
modis_slope,0.4316478228110519
date_crop_s2_mean,0.43080094920511014
landsat_nearest,0.4266790802551037
primary_next2,0.39281132645785977
modis_mean21,0.37710304221327784
landsat_evi_mean45,0.37706513118378787
s2_ndwi_std21,0.37688763373046313
source_spread,0.3752980529982071
landsat_ndwi_linear,0.3704875672717027
landsat_ndwi_midpoint,0.3661801556001917
landsat_next1,0.36433528171756174
calendar_cos_16,0.3612622312189136
modis_prev1,0.35210193249849203
date_all_primary_count,0.34318918350378447
primary_std21,0.3403288108804548
s2_nearest,0.33100384831773355
s2_donor_disagreement,0.3274792291344272
date_all_s2_count,0.32234071806608433
donor_s2_3_n,0.32007009300732175
modis_evi_linear,0.312591226895634
s2_evi_robust_linear,0.3037429788339806
landsat_ndwi_mean21,0.29870290650625425
modis_evi_next1,0.29748332754167933
date_all_modis_mean,0.2960366755458053
modis_evi_prev1,0.29588569701431267
donor_landsat_3,0.29026488526564037
modis_minus_clim,0.28981149878656143
primary_minus_clim,0.2859779987860304
date_crop_s2_median,0.28436075873732175
year,0.2782649224818692
donor_s2_3,0.27484265648726613
modis_phase16_prev,0.27328018673030413
landsat_evi_prev1,0.2713365094671982
modis_next3,0.2712778985100064
calendar_cos_182.625,0.2703002795119424
landsat_slope,0.26643038383199674
primary_prev3,0.2661934353656051
s2_minus_clim,0.2607821327127653
s2_evi_nearest,0.26073398852584717
calendar_sin_8,0.26048337986985354
date_all_primary_std,0.25970893882275103
donor_landsat_10_n,0.25697162436111776
landsat_mean45,0.2561837641444369
clim_primary_std,0.2548896257159526
donor_s2_10_n,0.24617838078766133
date_crop_landsat_mean,0.24468755769202144
date_crop_s2_std,0.2437221255135065
primary_slope,0.24043118059355256
donor_modis_confidence,0.23949696292185016
landsat_ndwi_prev1,0.23911080638133478
primary_prev4,0.2355692867309484
s2_midpoint,0.21833805362720118
donor_landsat_confidence,0.21775778789915345
landsat_ndwi_slope,0.21379590078679098
modis_evi_next2,0.21276842235715576
date_crop_landsat_median,0.21028269162127392
primary_next3,0.20591625050509116
calendar_sin_365.25,0.20526265679983363
era5_temp_c_slope,0.20303191773159154
landsat_evi_midpoint,0.19529980045319928
calendar_cos_365.25,0.19518901145795825
s2_ndwi_nearest,0.19363688699241233
era5_precip_mm_next1,0.19320932174834168
modis_next4,0.1907875992455398
modis_prev4,0.19051501625008702
era5_precip_mm_slope,0.19009500716170002
landsat_donor_disagreement,0.1900739267024718
calendar_sin_182.625,0.1860086427681029
date_all_landsat_std,0.18572612556357548
landsat_prev3,0.18416052502517896
donor_s2_10,0.18148728404281358
modis_evi_mean21,0.18075396384791223
era5_temp_c_prev1,0.17657597027632563
date_crop_landsat_count,0.17158987043930862
modis_prev1_days,0.17064160149883667
s2_next1,0.16921215325860164
landsat_ndwi_prev2,0.16760294555685384
date_all_s2_std,0.16624598313430541
s2_ndwi_slope,0.1658113402499331
clim_landsat_std,0.16009107423744398
calendar_cos_10,0.15985794446970114
modis_nearest,0.15798841366762398
landsat_next2,0.1564775405080987
date_all_landsat_mean,0.15267400881440923
primary_span,0.1520973139539223
date_all_s2_mean,0.15075415306105935
modis_evi_slope,0.15014910244784044
