feature,importance
primary_mean21,11.00256409131335
primary_mean45,5.339139316696145
primary_robust_linear,4.7785080303102925
landsat_linear,4.578996051235628
landsat_robust_linear,3.6391255270105893
primary_linear,2.5278419557972343
landsat_midpoint,2.5070973864189416
landsat_mean21,1.9843544217288793
donor_modis_3,1.8803761268946668
primary_midpoint,1.6781061341764534
landsat_evi_robust_linear,1.5178238084642344
donor_modis_10,1.377581030647336
landsat_evi_linear,1.2288855731002426
primary_prev2,1.2271136876044715
landsat_prev1,1.1846099651084478
date_crop_modis_mean,1.1466905725887342
date_crop_primary_median,0.9377756435695719
modis_robust_linear,0.9319881450739668
modis_evi_linear,0.8091899559392771
primary_prev1,0.7769889470516967
landsat_evi_next1,0.772057151525487
landsat_evi_nearest,0.7523039468934951
landsat_evi_mean21,0.7478904266401191
date_all_primary_median,0.7442711466950779
date_all_primary_mean,0.7408297386302086
modis_donor_disagreement,0.7379438011067783
date_crop_modis_median,0.7213976198788592
date_all_modis_count,0.7144323261360854
modis_linear,0.7088468836218371
modis_minus_primary,0.698621689948962
s2_minus_primary,0.6807980329716226
date_all_modis_median,0.6524637593779624
donor_modis_10_n,0.6225540449915035
primary_next2,0.6066484097402286
calendar_sin_16,0.6040699510191735
date_all_primary_count,0.5899446905184482
date_crop_primary_mean,0.5677440994939169
date_all_modis_mean,0.5550703078981523
source_spread,0.532600938663287
date_all_modis_std,0.5294224936518407
donor_modis_3_n,0.49324385181359387
modis_phase16_prev,0.49243975264420087
s2_donor_disagreement,0.47926486598346746
donor_s2_10_n,0.465857656922015
landsat_evi_prev1,0.44865556268800494
date_crop_s2_mean,0.4439368063835778
primary_nearest,0.43120088263103395
landsat_mean45,0.41224503908901766
date_crop_s2_count,0.41078192901035077
landsat_next1,0.4044376458721916
date_all_s2_count,0.39677261281098347
primary_prev3,0.3870636993222482
calendar_cos_16,0.38368105754272086
date_crop_s2_std,0.38247030639233337
modis_slope,0.3802318692626631
modis_evi_robust_linear,0.37476929341410714
calendar_sin_8,0.37476259685157465
donor_landsat_10,0.36869615785643006
landsat_minus_primary,0.3674973988234922
donor_s2_3_n,0.367011072266797
donor_landsat_confidence,0.36374159213971474
year,0.35188779790878333
s2_minus_clim,0.33255755925557756
modis_mean21,0.3308376935378563
donor_s2_3,0.32994010688244296
