anon_polygon_id,start,end,duration_days,n_points,n_observed,min_z,mean_z,negative_area,confidence,severity,level,reason_codes,explanation
AOI-0060,2016-04-07,2016-04-30,23,4,4,-1.8697190582638006,-1.5370828349469514,5.9399018885012405,1.0,5.9399,угнетение,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля),"С 2016-04-07 по 2016-04-30 (23 дн.) NDVI поля AOI-0060 был ниже собственной исторической нормы, минимум z = -1.87. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля). Это описание отклонения, а не установленная причина."
AOI-0006,2018-05-09,2018-05-24,15,3,3,-1.6001942604297583,-1.5163660919611754,6.223378196042561,0.95,5.9122,угнетение,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2018-05-09 по 2018-05-24 (15 дн.) NDVI поля AOI-0006 был ниже собственной исторической нормы, минимум z = -1.60. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0016,2017-09-20,2017-10-19,29,11,11,-2.5830169870597275,-2.0002597638566475,5.849954754664397,1.0,5.85,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2017-09-20 по 2017-10-19 (29 дн.) NDVI поля AOI-0016 был ниже собственной исторической нормы, минимум z = -2.58. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0053,2020-06-29,2020-07-27,28,10,10,-2.458169380139597,-1.6533496787351858,5.79985056351457,1.0,5.7999,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2020-06-29 по 2020-07-27 (28 дн.) NDVI поля AOI-0053 был ниже собственной исторической нормы, минимум z = -2.46. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0022,2020-05-04,2020-05-20,16,8,8,-3.4657878635838175,-2.4326073026786745,5.786375127778582,1.0,5.7864,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2020-05-04 по 2020-05-20 (16 дн.) NDVI поля AOI-0022 был ниже собственной исторической нормы, минимум z = -3.47. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0063,2018-04-14,2018-05-03,19,5,5,-2.193572078463234,-1.6930596744729471,5.74731920719238,1.0,5.7473,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет),"С 2018-04-14 по 2018-05-03 (19 дн.) NDVI поля AOI-0063 был ниже собственной исторической нормы, минимум z = -2.19. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет). Это описание отклонения, а не установленная причина."
AOI-0006,2021-07-09,2021-07-24,15,7,7,-1.6465880415081222,-1.3934269220274884,5.703749499082635,1.0,5.7037,угнетение,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2021-07-09 по 2021-07-24 (15 дн.) NDVI поля AOI-0006 был ниже собственной исторической нормы, минимум z = -1.65. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0043,2014-09-18,2014-10-28,40,7,7,-2.882084437520893,-2.2583607157373886,5.679234245434749,1.0,5.6792,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение,"С 2014-09-18 по 2014-10-28 (40 дн.) NDVI поля AOI-0043 был ниже собственной исторической нормы, минимум z = -2.88. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0049,2015-09-11,2015-10-30,49,13,11,-2.8922221025986405,-1.7604416458924748,5.658832352518564,1.0,5.6588,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2015-09-11 по 2015-10-30 (49 дн.) NDVI поля AOI-0049 был ниже собственной исторической нормы, минимум z = -2.89. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0078,2022-07-24,2022-08-08,15,10,8,-1.5572345680954751,-1.3210023415497527,5.655386959616587,1.0,5.6554,угнетение,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2022-07-24 по 2022-08-08 (15 дн.) NDVI поля AOI-0078 был ниже собственной исторической нормы, минимум z = -1.56. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0056,2024-06-03,2024-06-25,22,10,10,-2.8645034256976083,-1.8198635939330727,5.653996799531102,1.0,5.654,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2024-06-03 по 2024-06-25 (22 дн.) NDVI поля AOI-0056 был ниже собственной исторической нормы, минимум z = -2.86. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0055,2024-06-09,2024-07-27,48,20,20,-3.082775630726613,-2.1785208388913335,5.586945073727163,1.0,5.5869,критическая,длительное отклонение,"С 2024-06-09 по 2024-07-27 (48 дн.) NDVI поля AOI-0055 был ниже собственной исторической нормы, минимум z = -3.08. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0023,2015-06-26,2015-07-12,16,4,4,-1.6488877199077232,-1.3117899609295998,5.561871657614156,1.0,5.5619,угнетение,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2015-06-26 по 2015-07-12 (16 дн.) NDVI поля AOI-0023 был ниже собственной исторической нормы, минимум z = -1.65. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
